"","Date","AEP","AWK","CBOE","CHD","CMS","DUK","ED","EIX","EXR","HRL","HSY","MKC","MKTX","NEM","O","PNW","PSA","SO","WEC","XEL"
"1",2014-09-03,0.00903619087304675,0.00298720924930063,-0.0060104143315769,-0.00218548410868191,0.00757690901623853,0.00556667473757599,0.0100959745129714,0.0111921518291669,0.00858220895882855,0.00431103152236689,-0.00887148199481214,-0.00115115384796471,0.00786165339675637,-0.00379344571473439,-0.00112064937543943,0.00302306111900608,0.000684571943155632,0.00863808651549069,0.00824340763839171,0.00754468004433351
"2",2014-09-04,-0.00676957237802789,0.00178797182895707,-0.00245217916218943,0.0101594932609084,-0.00460511565785993,0.00216353526951885,-0.00225384982095456,-0.00524132014344625,-0.00223165434268813,-0.00627677198656196,-0.0127320627262577,-0.00432929166665819,-0.0271907052399234,-0.0273569547559536,0.000896687117250661,-0.00462715285116166,-0.00663475488098619,-0.000452904420532807,-0.0033335457496646,-0.00219466408703228
"3",2014-09-05,0.0160961973833875,0.00257689198193489,0.00715094493648305,-0.000722242756217018,0.0160265175351628,0.0118190028194514,0.00881359168125506,0.00827208436393612,0.0112932632972886,0.00510321598042429,0.00920548654768449,0.00562422275227092,0.0151220843182456,0.0143497301618498,0.0162281441903653,0.0131139342702773,0.0135651749020056,0.0141656895068363,0.0143661913493136,0.0192733128505096
"4",2014-09-08,-0.00614588458706944,-0.00815027712679806,0.0119292090237537,-0.00245947821731063,-0.00912648637679192,-0.000133758395434391,-0.00898733759279002,-0.0130300912428409,-0.000184086595474753,-0.00451319782487491,0.0149028411926704,-0.00591342008049889,0.00806194966141138,-0.0265330748810184,-0.00819257767587889,0.00105575155309623,-0.00368631012599252,-0.00514827379702432,-0.00660491168679211,-0.00927959075611762
"5",2014-09-09,-0.0101388739572315,-0.0102318432081989,-0.00371243680318356,0.000144833555944412,-0.0102024925506483,-0.0147971977089592,-0.0117003334284944,-0.0128570242454611,-0.00646534382531527,-0.00968288436634079,-0.0130278353813207,-0.00682193691319455,0.00150443142799972,0.0108261833817265,-0.00781160425629768,-0.0111418423507215,-0.0043278569991001,-0.0133289864396859,-0.0137901827475853,-0.0143977780127336
"6",2014-09-10,0,-0.00383867933570281,0.0107288638445802,0.0112342039681277,-0.00597219373046221,-0.00543542663745811,-0.00175778685907302,-0.00518912507866132,-0.0147487556514738,0.00218207341203147,0.0115039086142064,0.00435975132814814,0.00183551147555772,-0.00667865787256661,-0.0130805302217865,0.000178003665568749,-0.0151226988349764,-0.00478737196905854,0.00223704741132158,-0.00473982917422289
"7",2014-09-11,0.0103259343452482,0.00504812904217067,0.00348975998299794,-0.000143153573848309,0.0056411080304728,0.0144744687019784,0.00788714512613797,0.00587932488735365,-0.00189933873089609,0.00178162127214376,0.0061898024600282,-0.000435135236715567,-0.0120766310582869,0.00863409193844955,-0.00683406409786036,0.0171002384661336,-0.00011686624838525,0.00683232782436693,0.00956287100432629,0.0100851358543257
"8",2014-09-12,-0.0199971244590373,-0.0103252616560483,0.00493837440208322,-0.006899477770824,-0.019716634653578,-0.0189811019602919,-0.0149508042210487,-0.0194993586202754,-0.0367900315950829,-0.0117381052321126,0.00324272580200979,-0.00991418437589164,-0.00338060899807058,-0.0165487112986828,-0.0289873614086495,-0.0105427719778239,-0.0302461181366045,-0.016015029037312,-0.0239679304049174,-0.0196332618932327
"9",2014-09-15,0.00399361386392494,0.000813791465045455,-0.00146075050407335,0.0035995694259281,-0.0010126148695746,0.00518779691103965,0.00194769608801337,0.0042105096542806,-0.0079212239227604,0.00159972483156201,-0.000539549723452382,0.00190316438124061,-0.0179384805876319,-0.0059771737352472,-0.00259211834847006,0.00246984268966788,0.00114343120451377,0.000230360269491747,0.00835329133308305,0.00191700841598674
"10",2014-09-16,0.0176826777263837,0.00870556566841918,0.000365348799963083,0.00658908645817391,0.00874530155179043,0.0123147513584678,0.0123044412523989,0.0173554307663646,0.0177346023311435,0.0150707432039265,0.0146830952171317,0.00481436378167022,0.00994881111230939,0.000798926262256749,0.0103266808272116,0.010342882579315,0.00539829126528169,0.012829486623684,0.004710221296651,0.0112160953259295
"11",2014-09-17,-0.00579693825457328,-0.005863031906018,0.0105379659926492,0.00413225089237867,-0.00301867942941092,-0.000672705727865264,-0.00385084810150804,-0.000860745845765454,0.0106849171914218,-0.00493236280337594,-0.00245026556175176,-0.0106810643578052,0.00374786615024725,-0.0148868595494611,-0.00679412844526661,-0.00122170134647703,-0.0034756727192482,-0.00822830029035604,-0.000224320247562027,-0.00415127480911615
"12",2014-09-18,-0.0109372467185604,-0.0101895101369167,0.00863759391286978,-0.00299070545225977,-0.0114867022645608,-0.0110974656535383,-0.00686326527937187,-0.00621852369065357,-0.00523104849036482,0.00807644463416413,0.0043634147663294,0.00747417290754182,0.0468367220522445,-0.00732275195299925,-0.0185054786173664,-0.0181484904108156,-0.00886316614492078,-0.00667847411722278,-0.0151086249220485,-0.00932329119439812
"13",2014-09-19,0.0101866911269126,0.00876929862893938,-0.0124402054354831,0.00014264394722785,0.00643545411901147,0.0121734124108706,0.00879065876889928,0.00345967231150368,-0.000582884265913908,-0.00886796307057791,-0.00329734255745784,-0.0035106367126474,0.00194515414862462,-0.0114991262712119,0.00858341934021967,0.0047893824846863,-0.00096930087977487,0.00942874117373638,0.00430778987485914,0.00740147001386449
