"","Date","Ticker","Logarithmic_Return","Market_Return","Risk_Free"
"1",2014-09-03,"AEP",0.00903619087304675,-0.00054835605162129,0.000236913434848773
"2",2014-09-04,"AEP",-0.00676957237802789,-0.00144758244739851,-0.000118449701427714
"3",2014-09-05,"AEP",0.0160961973833875,0.00448530003801917,0.000354730794491331
"4",2014-09-08,"AEP",-0.00614588458706944,-0.00258893117676617,-0.000591948046752222
"5",2014-09-09,"AEP",-0.0101388739572315,-0.00635134592431097,-0.000590868924165378
"6",2014-09-10,"AEP",0,0.00375577795300064,0.000117782881365436
"7",2014-09-11,"AEP",0.0103259343452482,0.00114871857951648,0.000118621631330029
"8",2014-09-12,"AEP",-0.0199971244590373,-0.00585839821137135,-0.000236404512695465
"9",2014-09-15,"AEP",0.00399361386392494,-0.000753524309824449,0.000473141754338435
"10",2014-09-16,"AEP",0.0176826777263837,0.00751010670673402,0.00059135372622876
"11",2014-09-17,"AEP",-0.00579693825457328,0.0013457184887784,-0.0010644954805672
"12",2014-09-18,"AEP",-0.0109372467185604,0.00531612126083036,0.000117782881365436
"13",2014-09-19,"AEP",0.0101866911269126,-0.000901537583673395,-0.000117782881365436
"14",2014-09-22,"AEP",-0.00583512951659682,-0.0077530562820014,0.000709622443005209
"15",2014-09-23,"AEP",-0.0077702859899782,-0.00574068394081539,0.000236913434848773
"16",2014-09-24,"AEP",-0.00171388016640384,0.00779743555499124,-0.000355666953688605
"17",2014-09-25,"AEP",-0.00726871594068124,-0.0162671188489103,0.000710631294649211
"18",2014-09-26,"AEP",0.00306695525680789,0.00791398214787531,-0.00047341404238832
"19",2014-09-29,"AEP",-0.00134058278296223,-0.00182075636592938,0.000236409304140928
"20",2014-09-30,"AEP",0.000574559644406225,-0.00263581431958215,-0.000236409304140928
"21",2014-10-01,"AEP",0.00325087009976199,-0.0136446993613744,0.00106466631477176
"22",2014-10-02,"AEP",-0.00191078291975533,0.00015464127063769,-0.000117962090666168
"23",2014-10-03,"AEP",0.011222180273867,0.0109490482119323,-0.000946603975116922
"24",2014-10-06,"AEP",-0.00132500963296023,-0.00117104074663921,0.000946603975116922
"25",2014-10-07,"AEP",0.00302559610103259,-0.015556662983923,0.000591060170438418
"26",2014-10-08,"AEP",0.0216668301720331,0.0173380296483607,0.00106313122481794
"27",2014-10-09,"AEP",-0.0104009081670462,-0.0200323818608359,0
"28",2014-10-10,"AEP",0.0061421860452131,-0.0114798971936967,0.000471897300464263
"29",2014-10-13,"AEP",0.00628936993202256,-0.0165635093392202,0.000354117199405479
