"","Date","ADSK","ALGN","AMD","AMP","APA","APTV","BWA","DVN","DXC","FCX","HES","IPGP","LNC","MRO","MU","NVDA","SIVB","URI","WDC","WYNN"
"1",2014-09-03,0.0166949156736234,-0.00433131880893711,0.00718565966087459,-0.0137137910256477,0.00199481332442808,-0.00427575744488351,0.0012752514560086,0.00134904926469215,-0.00299260937805945,-0.00536793924398493,0.00218609253677648,0.010777820612498,-0.00543976323804785,0.00631841922918097,0.00538061117704158,0.00918826201184819,-0.00373597665880432,-0.00523071308067724,-0.00255223416083172,0.00102615224671609
"2",2014-09-04,-0.00331677102187289,0.000361663650204846,-0.00959239969143955,-0.00317960676428797,-0.0160710842705898,0.00342203101783234,0.00445081229598188,-0.025532231843779,-0.0011666150540961,-0.00226876358595707,-0.00597326575361379,-0.000579640660620662,-0.00821535873923507,-0.0183356002297863,0.013793290999085,0.017628623086591,-0.00142687974421563,0.000676492488568492,-0.00779570379055716,-0.00254052996754872
"3",2014-09-05,0,0,0,0.00634891991529951,0.00776632942438482,0.00326878485574955,0.00221799098621034,0.00592914142773804,0.0044914533190803,-0.00569486714251211,0.00835251067856912,-0.0154837743650971,-0.00146768237404027,0.00933205381047886,0.0252088364459566,-0.00300005200460074,0.000892051778778935,0.00177356573297338,-0.000296833337625202,0.00480529070605407
"4",2014-09-08,0.00350067610838423,0.00486971821202431,-0.00483092726966561,-0.000791438839951475,-0.0162058448236131,0.0131088996024369,-0.0104996698633419,-0.0211176986979345,-0.00716253397996391,-0.00314603934011926,-0.0123542572377184,-0.000589029619365355,-0.00330996017303864,-0.0172589160620666,0.00605328743213462,-0.0090545388872294,-0.00205296631215734,-0.00177356573297338,-0.00476755224589009,-0.00513013420148756
"5",2014-09-09,-0.0135174729946597,-0.0123100753531666,-0.012180418556871,-0.0126679085768933,-0.00840869682806744,-0.00238330061989966,-0.011419519299988,-0.00662127585097938,-0.00771930838619106,-0.0135546632633092,-0.00261024090524575,-0.0124500791134299,-0.00962435459573685,-0.00373710165479713,-0.0356302744175929,-0.0127130966071052,-0.00555502725164203,-0.0234339380525892,-0.00589142616804494,-0.00243925399625322
"6",2014-09-10,-0.00504626816193854,0.00762112185120056,0,0.00703098430808957,0.00174884555617183,-0.00534838380753122,-0.0077947000252534,0.00226685187266273,0.00654820498895869,0.00347842543459187,-0.00352401254601986,0.00550302567071093,0.00851862992921371,-0.000999107649171105,0.00343374771595739,0.00357592951248042,0.0244076897989727,-0.00312013607088435,0.000400393711644575,-0.0108036911810325
"7",2014-09-11,0.0141398076741952,0.00414899128728141,0,-0.00566895218946506,0.00359143552522845,-0.00551900979550357,-0.00244832043015197,-0.000565974015995785,0.00183945574616962,0,-0.00303049804858269,0.0204073740077186,-0.0040651904589839,0,-0.00155930171062169,-0.0102512732178419,0.00297667876091001,0.00778214925719301,0.00170037446887417,0.0207402181864094
"8",2014-09-12,-0.0109595225130996,-0.011770113138482,-0.0298529631496811,-0.00040041638815147,-0.0143394891675381,-0.0042663726418013,-0.0163113870484777,-0.0096745327436949,-0.00250913870947933,-0.00930239758123896,-0.0165683206441285,0.00565176512217658,0.0154329694103619,-0.0110555807144728,-0.0160456481383489,-0.0150534909039339,0.0119054458047945,0.00429738528641632,-0.00170037446887417,-0.0193697424348764
"9",2014-09-15,0.00354244797089942,-0.0206117526989118,-0.0127066512691147,-0.00876954409058595,0.00910210113605459,-0.015655650582862,-0.0254032017066237,0.00456413905845476,-0.00184373177865726,0.00233374796715013,0.0102595833961141,-0.00768842576323703,-0.0124748934135011,0.00629691531579146,-0.0490756790674793,-0.0136916602068515,-0.0107696455667377,-0.00266217685958914,-0.0237044379851916,-0.00996571034696636
"10",2014-09-16,0.0188058639558801,0.00722558050255673,-0.0259081848586649,0.00812840574087126,0.007181696383328,-0.0269967990909272,-0.00580990344912191,0.022235805345467,-0.00201546023503552,0.0164718153928076,0.0122750604269539,-0.0154085518624738,0.00937083202355682,0.00725430639344093,0.0465351887376357,0.0147368480351884,-0.00753788297196145,0.0121368840247902,0.00562191603547468,-0.00471441195349964
"11",2014-09-17,0.00255379564693303,-0.0049966977282998,0.00262123347987409,0.0142457702977881,-0.00327657281900162,-0.0100142340276452,-0.00964361328289431,-0.00390482700279549,-0.00488744378789097,-0.0109511119215084,-0.00282720518151525,-0.00296216150418438,-0.0040317296139829,0.00522066591997916,0.0167116924628568,0.000522537847290838,0.00771254463463134,-0.000594858743649951,-0.00285778441160733,0.0177982000637034
"12",2014-09-18,0.0151874372379019,0.00868199774463108,0.0155847310166983,0.00802763684057961,-0.00503835854818036,-0.0102675320642498,0.00947218278525019,-0.000139654578539705,0.000168845867021261,-0.00581224903559008,-0.011900413834292,0.0110628758951483,0.0223343605491331,-0.0253623355649713,0.0155138078876687,0.0150301930653289,0.0155927884043452,0.00897017115653842,0.0178319689608175,0.0255047479914881
"13",2014-09-19,-0.00215554239959559,0.00933648887387051,-0.0182059644965724,-0.00723784196239752,-0.00516748589692106,-0.00685298953602942,-0.00929913945216398,-0.0082785827492744,-0.00848182267662345,-0.0073130714322498,-0.00225367182404135,0.013550145793789,-0.000898300874878188,-0.00229156384266993,-0.0265185095914746,-0.0186922865713854,-0.0120196789897449,-0.0169927627562529,-0.0107017787685226,-0.0136691199179744
