"","Date","Market_Return","Risk_Free"
"1",2014-09-03,-0.00054835605162129,0.000236913434848773
"2",2014-09-04,-0.00144758244739851,-0.000118449701427714
"3",2014-09-05,0.00448530003801917,0.000354730794491331
"4",2014-09-08,-0.00258893117676617,-0.000591948046752222
"5",2014-09-09,-0.00635134592431097,-0.000590868924165378
"6",2014-09-10,0.00375577795300064,0.000117782881365436
"7",2014-09-11,0.00114871857951648,0.000118621631330029
"8",2014-09-12,-0.00585839821137135,-0.000236404512695465
"9",2014-09-15,-0.000753524309824449,0.000473141754338435
"10",2014-09-16,0.00751010670673402,0.00059135372622876
"11",2014-09-17,0.0013457184887784,-0.0010644954805672
"12",2014-09-18,0.00531612126083036,0.000117782881365436
"13",2014-09-19,-0.000901537583673395,-0.000117782881365436
"14",2014-09-22,-0.0077530562820014,0.000709622443005209
"15",2014-09-23,-0.00574068394081539,0.000236913434848773
"16",2014-09-24,0.00779743555499124,-0.000355666953688605
"17",2014-09-25,-0.0162671188489103,0.000710631294649211
"18",2014-09-26,0.00791398214787531,-0.00047341404238832
"19",2014-09-29,-0.00182075636592938,0.000236409304140928
"20",2014-09-30,-0.00263581431958215,-0.000236409304140928
"21",2014-10-01,-0.0136446993613744,0.00106466631477176
"22",2014-10-02,0.00015464127063769,-0.000117962090666168
"23",2014-10-03,0.0109490482119323,-0.000946603975116922
"24",2014-10-06,-0.00117104074663921,0.000946603975116922
"25",2014-10-07,-0.015556662983923,0.000591060170438418
"26",2014-10-08,0.0173380296483607,0.00106313122481794
"27",2014-10-09,-0.0200323818608359,0
"28",2014-10-10,-0.0114798971936967,0.000471897300464263
"29",2014-10-13,-0.0165635093392202,0.000354117199405479
"30",2014-10-14,0.00154636854064893,0.000589596467485798
"31",2014-10-15,-0.0067893869676201,0.00129588739614483
"32",2014-10-16,-0.00085874140759401,-0.000588832686855056
"33",2014-10-17,0.0117417937270714,-0.000589266971044111
"34",2014-10-20,0.0096631564363916,0.000589266971044111
"35",2014-10-21,0.0196171688928146,-0.000235438076598982
"36",2014-10-22,-0.00713634860510304,-0.000235680689963935
"37",2014-10-23,0.0115577484326312,-0.000471540565409434
"38",2014-10-24,0.00766543616129045,0.000235604622682573
"39",2014-10-27,-0.0013751175312926,0
"40",2014-10-28,0.0114045498768434,-0.000235604622682573
"41",2014-10-29,-0.00151309197192528,-0.00129797484769512
"42",2014-10-30,0.00639020887397379,0.000353851271942318
"43",2014-10-31,0.0113706312681012,-0.00023588276892017
"44",2014-11-03,0.000545255187075711,-0.000129881120584763
"45",2014-11-04,-0.00347533819555412,-0.000118371378730942
"46",2014-11-05,0.00629643207913588,-0.000236284615708016
"47",2014-11-06,0.00399494952503332,-0.000235852663525549
"48",2014-11-07,0.000934916319985213,0.000708366077709854
"49",2014-11-10,0.0031426832948549,-0.000708366077709854
"50",2014-11-11,0.000979958706833983,-0.000118716502261584
"51",2014-11-12,-0.0010779256688771,0.000354569165787133
"52",2014-11-13,0.00112694139535385,0.000236284615708016
"53",2014-11-14,0.000244869599781872,0.000472214369471757
"54",2014-11-17,0.000636235687168529,-0.000117742128005638
"55",2014-11-18,0.00575730375717143,-0.000118243442989829
"56",2014-11-19,-0.00160662769037856,-0.000117857419745349
"57",2014-11-20,0.00175243525725932,0.000236100862735178
"58",2014-11-21,0.00533628821646204,0.000236332501071246
"59",2014-11-24,0.00280245676480284,0.000117526914277022
"60",2014-11-25,-0.000723913077703919,0.000118275075834617
"61",2014-11-26,0.00255575932551366,0.000118460926405994
"62",2014-11-28,-0.00212136351724634,0.000353463244442409
"63",2014-12-01,-0.00697424355370924,-0.000011911194329528
"64",2014-12-02,0.00644319610825672,-0.000590193785804161
"65",2014-12-03,0.00385560014472741,-0.000472495945584406
"66",2014-12-04,-0.00110671379403726,0.000590859869967097
"67",2014-12-05,0.00163555365029477,-0.0018909630457653
"68",2014-12-08,-0.00670477520000201,-0.000118024723350096
"69",2014-12-09,-0.000678128568698533,0.000354595436951044
"70",2014-12-10,-0.0161611613843018,0.000827688314720909
"71",2014-12-11,0.00505722827463906,-0.000473106001435575
"72",2014-12-12,-0.0162936108158052,0.000945126060846846
"73",2014-12-15,-0.00689324230992039,-0.000708882710689807
"74",2014-12-16,-0.00805194846279012,0.000591139156912668
"75",2014-12-17,0.0194152143901878,-0.000946012974254451
"76",2014-12-18,0.0244280389056621,-0.000590547283051635
"77",2014-12-19,0.0042460179822692,-0.000710545300266041
"78",2014-12-22,0.00458939238113043,0.00023716750845626
"79",2014-12-23,0.00134864206027441,-0.0010660234808606
"80",2014-12-24,0.0000962967448758789,0.000509254023935313
"81",2014-12-26,0.00321938488271822,-0.000355287431247575
"82",2014-12-29,0.00134253351249125,0.000947394878586749
"83",2014-12-30,-0.00538041643746556,0.000355714629575843
"84",2014-12-31,-0.00997261749992351,-0.000355714629575843
"85",2015-01-02,-0.000535413087472847,0.00106523844640183
"86",2015-01-05,-0.0182246748673309,0
"87",2015-01-06,-0.00946351026532355,0.000472957235875704
"88",2015-01-07,0.0123841372870546,0.000473208536836189
"89",2015-01-08,0.0175893402246921,-0.000118427999177051
"90",2015-01-09,-0.00804583960158034,0.000827053190330496
"91",2015-01-12,-0.00786442842411894,0.000590162608970601
"92",2015-01-13,-0.00281663019156042,0.000590101409693844
"93",2015-01-14,-0.0060555180963302,0.000589267221210221
"94",2015-01-15,-0.00920267719014056,0.00153139773980637
"95",2015-01-16,0.0130288822088938,-0.000942091331340045
"96",2015-01-20,0.00213030474574083,-0.000471571901214496
"97",2015-01-21,0.00503539992940016,0
